"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1826","User login with wrong email or password","LMS system","Sun May 03 18:59:42 UTC 2026","passed","Sun May 03 18:59:44 UTC 2026","Authorization","Authentication","",""
"","1677","Registration with correct email, username and password","LMS system","Sun May 03 18:59:47 UTC 2026","passed","Sun May 03 18:59:49 UTC 2026","Registration","Authentication","",""
"","1703","User login with wrong email or password","LMS system","Sun May 03 18:59:42 UTC 2026","passed","Sun May 03 18:59:44 UTC 2026","Authorization","Authentication","",""
"","3559","Edit course","LMS system","Sun May 03 18:59:51 UTC 2026","passed","Sun May 03 18:59:55 UTC 2026","Courses","Courses","",""
"","1654","Navigation from login page to registration page","LMS system","Sun May 03 18:59:46 UTC 2026","passed","Sun May 03 18:59:48 UTC 2026","Authorization","Authentication","",""
"","1498","Check displaying of empty courses list","LMS system","Sun May 03 18:59:50 UTC 2026","passed","Sun May 03 18:59:51 UTC 2026","Courses","Courses","",""
"","1610","User login with wrong email or password","LMS system","Sun May 03 18:59:44 UTC 2026","passed","Sun May 03 18:59:46 UTC 2026","Authorization","Authentication","",""
"","2009","Check displaying of dashboard page","LMS system","Sun May 03 18:59:54 UTC 2026","passed","Sun May 03 18:59:56 UTC 2026","Dashboard","Dashboard","",""
"","2942","Navigation from login page to registration page","LMS system","Sun May 03 18:59:44 UTC 2026","passed","Sun May 03 18:59:47 UTC 2026","Authorization","Authentication","",""
"","2715","Create course","LMS system","Sun May 03 18:59:51 UTC 2026","passed","Sun May 03 18:59:54 UTC 2026","Courses","Courses","",""
